"Drug","MW","IndividualId","CL_L_h_kg","Vc_L_kg","Q_L_h_kg","Vp_L_kg","Rtot_nM","kdeg_h","kint_h","Kss_nM"
"Atezolizumab",144000,83,0.000337594252331953,0.0540193027447702,0.00162576183184492,0.0357894551103786,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,84,0.000411979845230456,0.0360768560161406,0.000572245789993281,0.0346493758470177,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,85,0.000237423799416249,0.0283379359634953,0.000887501035973832,0.0222543147620543,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,86,0.000217948346451914,0.0723167598577735,0.00185992362242723,0.0265772330227357,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,87,0.000267083251955789,0.036157696682067,0.00123628708755988,0.0332288771102095,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,88,0.000273768060634892,0.0661348623921966,0.00105108689594875,0.0189903615884776,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,89,0.000206305019404751,0.0324200227462793,0.000948514651384162,0.0185747951416585,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,90,0.000293265257987281,0.0301257787908842,0.00040935392985937,0.0405263059163446,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,91,0.000160665700523317,0.0450591884022952,0.00120310109995789,0.0410186606138122,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,92,0.000101373263961581,0.0665883828874625,0.00104475057091839,0.0379684005030127,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,93,0.000277323624987146,0.0313086857131614,0.00103843440953694,0.0105136972238924,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,94,0.000181060732653544,0.037695281220454,0.000876574829203558,0.0256233745305572,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,95,0.00023751561111005,0.0275328954972183,0.00202118204034967,0.0219245080515277,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,96,0.000266646738532662,0.0654328405780752,0.00058312299840041,0.0248116769865749,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,97,0.000166455800754154,0.0393934589370283,0.00125110222177424,0.0215196079405003,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,98,0.000149518822552796,0.0341150337479851,0.00377970045244085,0.031614008465267,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,99,0.000168492713182104,0.045238962429013,0.000937127915173824,0.0197092589819704,0.609,0.0426,0.606,621.638888888889
"Atezolizumab",144000,100,0.000156995594809283,0.0331392344714105,0.00228848874494038,0.0191785435203952,0.609,0.0426,0.606,621.638888888889
"Avelumab",147000,1,0.000719809911890816,0.0707425995512446,0.00114644743028709,0.0648461610516781,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,2,0.000881874042805587,0.0415526059384627,0.00118893291121773,0.0621734216855729,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,3,0.000791793312378574,0.0407656273112324,0.00223734725472368,0.0303714567387843,0.609,0.0426,0.25,0.158529501915709
"Avelumab",147000,4,0.000911202278687565,0.0551997355327194,0.00235445854739354,0.0298358826353164,0.609,0.0426,0.25,0.158529501915709
