"Drug","Design","N_per_group","Total_animals","Dose_mgkg","Endpoint","Fraction_within_2fold","Median_fold_error","Fold_error_5th_percentile","Fold_error_95th_percentile"
"Avelumab","3 dose groups",4,12,0.3,"Cmax",1,0.982720668112749,0.739879513309933,1.28116327355011
"Avelumab","3 dose groups",4,12,0.3,"Terminal clearance",1,0.99287406701195,0.769389144041498,1.26326670718196
"Avelumab","3 dose groups",4,12,3,"AUC0-28d",1,1.00241041036982,0.766600495982203,1.30053537022357
"Avelumab","3 dose groups",4,12,3,"Cmax",1,0.998631769956545,0.752713458970606,1.26600868561656
"Avelumab","3 dose groups",4,12,3,"Terminal clearance",1,0.968527195171976,0.761295026660464,1.29848243604982
"Avelumab","3 dose groups",4,12,10,"AUC0-28d",1,1.01007134754424,0.789106187167197,1.2904530016943
"Avelumab","3 dose groups",4,12,10,"Cmax",1,0.992898585018351,0.761046898182838,1.28013418244376
"Avelumab","3 dose groups",4,12,10,"Terminal clearance",1,0.962960978435437,0.74120660147326,1.27915197501807
"Nivolumab","2 dose groups",2,4,0.3,"AUC0-28d",1,0.990785658502594,0.747074251766169,1.30821191561713
"Nivolumab","2 dose groups",2,4,0.3,"Cmax",1,0.972249288048346,0.687248864702438,1.41439936165068
"Nivolumab","2 dose groups",2,4,0.3,"Terminal clearance",0.998,0.977938140648498,0.691519842589082,1.34704814418581
"Nivolumab","2 dose groups",2,4,10,"AUC0-28d",1,0.9792815672655,0.750535789003324,1.30300400141528
"Nivolumab","2 dose groups",2,4,10,"Cmax",1,0.97651580594227,0.681500670077099,1.39483873412422
"Nivolumab","2 dose groups",2,4,10,"Terminal clearance",0.991,0.975371549477983,0.671296895557025,1.35647319741135
"Nivolumab","2 dose groups",3,6,0.3,"AUC0-28d",1,0.997128621123825,0.78912865747854,1.26510467364655
"Nivolumab","2 dose groups",3,6,0.3,"Cmax",1,1.00040108286709,0.722041204747804,1.32566307957851
"Nivolumab","2 dose groups",3,6,0.3,"Terminal clearance",0.999,0.989081174380546,0.724423305890172,1.28098058286559
"Nivolumab","2 dose groups",3,6,10,"AUC0-28d",1,0.993806379268088,0.793218777987848,1.25705027436705
"Nivolumab","2 dose groups",3,6,10,"Cmax",1,0.967664061932579,0.704990676156231,1.31011937232475
"Nivolumab","2 dose groups",3,6,10,"Terminal clearance",0.997,0.98075877271481,0.719571506067436,1.27604948047599
"Nivolumab","2 dose groups",4,8,0.3,"AUC0-28d",1,1.00006319944762,0.825604118450082,1.23014486369648
"Nivolumab","2 dose groups",4,8,0.3,"Cmax",1,0.997205500127826,0.754925192164647,1.2840927975734
"Nivolumab","2 dose groups",4,8,0.3,"Terminal clearance",1,0.981522498925557,0.756451391651237,1.2547565999077
"Nivolumab","2 dose groups",4,8,10,"AUC0-28d",1,0.986737897251076,0.815502777914005,1.21114635788876
"Nivolumab","2 dose groups",4,8,10,"Cmax",1,0.991373814590943,0.759832527567627,1.2792344636315
"Nivolumab","2 dose groups",4,8,10,"Terminal clearance",1,0.987928617269834,0.749807246699403,1.24988054447206
"Nivolumab","3 dose groups",2,6,0.3,"AUC0-28d",1,0.973958530260301,0.761088361719844,1.31975360457496
"Nivolumab","3 dose groups",2,6,0.3,"Cmax",1,0.97615486101474,0.697544558934716,1.39882447937955
"Nivolumab","3 dose groups",2,6,0.3,"Terminal clearance",0.996,0.990631065834952,0.686532449323341,1.37412877723021
"Nivolumab","3 dose groups",2,6,3,"AUC0-28d",1,0.980619424194937,0.748636368412761,1.30282050325081
"Nivolumab","3 dose groups",2,6,3,"Cmax",1,1.00117323195748,0.679702746124604,1.43423276966476
"Nivolumab","3 dose groups",2,6,3,"Terminal clearance",0.995,0.986677242194604,0.67750801383333,1.3459546027829
"Nivolumab","3 dose groups",2,6,10,"AUC0-28d",1,0.981173404284756,0.747570198448255,1.32913981868995
"Nivolumab","3 dose groups",2,6,10,"Cmax",1,0.971523567219802,0.674820641544795,1.42014599584522
"Nivolumab","3 dose groups",2,6,10,"Terminal clearance",0.997,0.982851346978249,0.685894314308918,1.35270544947849
"Nivolumab","3 dose groups",3,9,0.3,"AUC0-28d",1,0.978205057437543,0.786682466705482,1.25509702640169
"Nivolumab","3 dose groups",3,9,0.3,"Cmax",1,0.983447667921413,0.741055712470365,1.31778803908591
"Nivolumab","3 dose groups",3,9,0.3,"Terminal clearance",0.999,0.985351952557517,0.741647398553647,1.27870934484168
"Nivolumab","3 dose groups",3,9,3,"AUC0-28d",1,0.986524608909147,0.785860353417537,1.25127648425752
"Nivolumab","3 dose groups",3,9,3,"Cmax",1,0.993127562323626,0.725521937523305,1.32155083013791
"Nivolumab","3 dose groups",3,9,3,"Terminal clearance",1,0.983347737555894,0.711001649300794,1.28448505069223
"Nivolumab","3 dose groups",3,9,10,"AUC0-28d",1,0.983382402170178,0.802063645514103,1.26155799796229
"Nivolumab","3 dose groups",3,9,10,"Cmax",1,0.989035315799807,0.740668075307351,1.3343752281455
"Nivolumab","3 dose groups",3,9,10,"Terminal clearance",0.999,0.995327359361667,0.715326630533506,1.30325345098586
"Nivolumab","3 dose groups",4,12,0.3,"AUC0-28d",1,0.990655523387888,0.821610313628113,1.22197004636372
"Nivolumab","3 dose groups",4,12,0.3,"Cmax",1,0.990227164126162,0.764402585033746,1.26608988903012
"Nivolumab","3 dose groups",4,12,0.3,"Terminal clearance",0.999,0.990765564970937,0.759403580474494,1.2658612286711
"Nivolumab","3 dose groups",4,12,3,"AUC0-28d",1,0.992394050987509,0.820171456675769,1.2148843507244
"Nivolumab","3 dose groups",4,12,3,"Cmax",1,0.993445547214767,0.760813180915779,1.29371363614916
"Nivolumab","3 dose groups",4,12,3,"Terminal clearance",1,0.987758231777261,0.771050647942269,1.25331733575227
"Nivolumab","3 dose groups",4,12,10,"AUC0-28d",1,0.996441980561953,0.821352482964254,1.19951021099222
"Nivolumab","3 dose groups",4,12,10,"Cmax",1,0.990111093892464,0.741940883055558,1.27690235146897
"Nivolumab","3 dose groups",4,12,10,"Terminal clearance",1,0.993563137601015,0.763010690898287,1.2311930280929
"Pembrolizumab","2 dose groups",2,4,0.3,"AUC0-28d",1,0.984853853800094,0.684050032201237,1.40139582424014
"Pembrolizumab","2 dose groups",2,4,0.3,"Cmax",0.989,0.95361524955955,0.595031747676529,1.58586189411192
"Pembrolizumab","2 dose groups",2,4,0.3,"Terminal clearance",0.994,0.96149688554026,0.630724076491815,1.38368331395156
"Pembrolizumab","2 dose groups",2,4,10,"AUC0-28d",1,0.968876641464139,0.685617294010602,1.36425459529371
"Pembrolizumab","2 dose groups",2,4,10,"Cmax",0.99,0.977377962877564,0.619414110140576,1.54735882646552
"Pembrolizumab","2 dose groups",2,4,10,"Terminal clearance",0.994,0.971183586604744,0.630007300793956,1.40741571974094
