"Scenario_name","Drug","IndividualId","Dose_mgkg","Time_h","Time_day","Concentration_ug_mL"
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,4,0.166666666666667,7.42287466349579
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,8,0.333333333333333,6.33816892561637
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,24,1,4.72736634257839
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,48,2,3.98636994871431
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,144,6,2.25561275259489
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,240,10,1.27383027530846
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,336,14,0.717571432239666
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,504,21,0.261815048212155
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","24",0.3,672,28,0.0952833649121234
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,0.25,0.0104166666666667,7.46134808265368
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,1,0.0416666666666667,7.31510578857198
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,2,0.0833333333333333,7.12919478912676
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,4,0.166666666666667,6.78622971269033
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,8,0.333333333333333,6.20068902254382
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,24,1,4.74497816493681
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,48,2,3.77267313514758
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,144,6,2.27020641527765
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,240,10,1.42368537771822
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,336,14,0.89155200522784
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,504,21,0.391986625299874
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","25",0.3,672,28,0.172006075052795
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,0.25,0.0104166666666667,7.13545801606133
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,1,0.0416666666666667,6.95529652925723
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,2,0.0833333333333333,6.73063383507887
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,4,0.166666666666667,6.3291108235408
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,8,0.333333333333333,5.68300035270795
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,24,1,4.29749188867086
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,48,2,3.50464597486839
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,144,6,2.08356893818141
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,240,10,1.23929845909896
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,336,14,0.726745068774292
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,504,21,0.278598101239886
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","26",0.3,672,28,0.104881775572968
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,0.25,0.0104166666666667,6.18842472188041
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,1,0.0416666666666667,6.06359468376892
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,2,0.0833333333333333,5.90620623199926
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,4,0.166666666666667,5.61988426677598
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,8,0.333333333333333,5.14425644767769
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,24,1,4.05158111363248
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,48,2,3.40740843543225
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,144,6,2.37896170854297
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,240,10,1.69974800519242
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,336,14,1.21279397735752
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,504,21,0.670138045032352
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","27",0.3,672,28,0.36952322784319
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,0.25,0.0104166666666667,8.60685203681027
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,1,0.0416666666666667,8.37174597497856
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,2,0.0833333333333333,8.07871106922139
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,4,0.166666666666667,7.55566041120169
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,8,0.333333333333333,6.71721697805615
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,24,1,4.95147599874713
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,48,2,3.98439408036699
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,144,6,2.32367743829102
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,240,10,1.3710267450438
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,336,14,0.805495827764832
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,504,21,0.31544152147797
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","28",0.3,672,28,0.122965477407928
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,0.25,0.0104166666666667,6.22990291935794
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,1,0.0416666666666667,6.14702482108961
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,2,0.0833333333333333,6.04023456391655
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,4,0.166666666666667,5.83869549443939
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,8,0.333333333333333,5.47910015917897
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,24,1,4.46967448041579
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,48,2,3.6814131119147
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,144,6,2.61602480957094
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,240,10,2.03492054078816
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,336,14,1.58303546966178
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,504,21,1.01506704583547
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","29",0.3,672,28,0.647442018589821
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","3",0.3,0.25,0.0104166666666667,4.55197883602488
