"Scenario_name","Drug","IndividualId","Dose_mgkg","Rich_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","88",0.3,982.887235446138
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","89",0.3,1095.14448518798
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","9",0.3,1258.79352328687
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","90",0.3,1393.81610838264
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","91",0.3,959.753686189267
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","92",0.3,1050.02135834218
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","93",0.3,1150.7945181022
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","94",0.3,1291.8991104214
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","95",0.3,1234.47206358182
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","96",0.3,1132.32832192237
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","97",0.3,1212.75179693693
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","98",0.3,824.203297738051
"Atezolizumab_Monkey_Dose0.3","Atezolizumab","99",0.3,1387.53447616628
"Atezolizumab_Monkey_Dose10","Atezolizumab","1",10,34342.6925357591
"Atezolizumab_Monkey_Dose10","Atezolizumab","10",10,52181.8694576462
"Atezolizumab_Monkey_Dose10","Atezolizumab","100",10,39344.0081626348
"Atezolizumab_Monkey_Dose10","Atezolizumab","11",10,40739.1568883907
"Atezolizumab_Monkey_Dose10","Atezolizumab","12",10,45246.8922364395
"Atezolizumab_Monkey_Dose10","Atezolizumab","13",10,67556.3084239873
"Atezolizumab_Monkey_Dose10","Atezolizumab","14",10,44001.2475210988
"Atezolizumab_Monkey_Dose10","Atezolizumab","15",10,49341.3707401756
"Atezolizumab_Monkey_Dose10","Atezolizumab","16",10,47148.1705961424
"Atezolizumab_Monkey_Dose10","Atezolizumab","17",10,34909.1710643255
"Atezolizumab_Monkey_Dose10","Atezolizumab","18",10,40870.8893949649
"Atezolizumab_Monkey_Dose10","Atezolizumab","19",10,42714.3956299648
"Atezolizumab_Monkey_Dose10","Atezolizumab","2",10,35371.0457053374
"Atezolizumab_Monkey_Dose10","Atezolizumab","20",10,44662.7350831755
"Atezolizumab_Monkey_Dose10","Atezolizumab","21",10,53880.4855712602
"Atezolizumab_Monkey_Dose10","Atezolizumab","22",10,33162.8784341976
"Atezolizumab_Monkey_Dose10","Atezolizumab","23",10,50804.4193484808
"Atezolizumab_Monkey_Dose10","Atezolizumab","24",10,35326.6949214619
"Atezolizumab_Monkey_Dose10","Atezolizumab","25",10,37902.976335345
"Atezolizumab_Monkey_Dose10","Atezolizumab","26",10,36361.6033118953
"Atezolizumab_Monkey_Dose10","Atezolizumab","27",10,39386.9198377166
"Atezolizumab_Monkey_Dose10","Atezolizumab","28",10,38248.159650459
"Atezolizumab_Monkey_Dose10","Atezolizumab","29",10,49035.3411354509
"Atezolizumab_Monkey_Dose10","Atezolizumab","3",10,28397.1969444921
"Atezolizumab_Monkey_Dose10","Atezolizumab","30",10,38363.3878150492
"Atezolizumab_Monkey_Dose10","Atezolizumab","31",10,31043.0242818203
"Atezolizumab_Monkey_Dose10","Atezolizumab","32",10,41042.9516913449
"Atezolizumab_Monkey_Dose10","Atezolizumab","33",10,50912.6721084573
"Atezolizumab_Monkey_Dose10","Atezolizumab","34",10,41873.2803137625
"Atezolizumab_Monkey_Dose10","Atezolizumab","35",10,39610.4233314391
"Atezolizumab_Monkey_Dose10","Atezolizumab","36",10,42035.2171490571
"Atezolizumab_Monkey_Dose10","Atezolizumab","37",10,42778.0021982229
"Atezolizumab_Monkey_Dose10","Atezolizumab","38",10,29149.9381543694
"Atezolizumab_Monkey_Dose10","Atezolizumab","39",10,28356.6627504371
"Atezolizumab_Monkey_Dose10","Atezolizumab","4",10,45194.4307657959
"Atezolizumab_Monkey_Dose10","Atezolizumab","40",10,30166.8255349956
"Atezolizumab_Monkey_Dose10","Atezolizumab","41",10,42173.8038827185
"Atezolizumab_Monkey_Dose10","Atezolizumab","42",10,41430.3190339555
"Atezolizumab_Monkey_Dose10","Atezolizumab","43",10,35375.1040464995
"Atezolizumab_Monkey_Dose10","Atezolizumab","44",10,35772.9066713576
"Atezolizumab_Monkey_Dose10","Atezolizumab","45",10,55017.9690027772
