"Scenario_name","Drug","IndividualId","Dose_mgkg","Sparse_AUC_ug_h_mL"
"Atezolizumab_Monkey_Dose10","Atezolizumab","15",10,49610.2087737243
"Atezolizumab_Monkey_Dose10","Atezolizumab","16",10,47327.9480601479
"Atezolizumab_Monkey_Dose10","Atezolizumab","17",10,35152.5279038492
"Atezolizumab_Monkey_Dose10","Atezolizumab","18",10,41202.0469821379
"Atezolizumab_Monkey_Dose10","Atezolizumab","19",10,43025.3069538409
"Atezolizumab_Monkey_Dose10","Atezolizumab","2",10,35561.9840478905
"Atezolizumab_Monkey_Dose10","Atezolizumab","20",10,45015.0719076772
"Atezolizumab_Monkey_Dose10","Atezolizumab","21",10,54297.1505642734
"Atezolizumab_Monkey_Dose10","Atezolizumab","22",10,33377.4561077868
"Atezolizumab_Monkey_Dose10","Atezolizumab","23",10,51071.1973314492
"Atezolizumab_Monkey_Dose10","Atezolizumab","24",10,35895.3306390749
"Atezolizumab_Monkey_Dose10","Atezolizumab","25",10,38186.8920553065
"Atezolizumab_Monkey_Dose10","Atezolizumab","26",10,36686.207117348
"Atezolizumab_Monkey_Dose10","Atezolizumab","27",10,39668.8630427034
"Atezolizumab_Monkey_Dose10","Atezolizumab","28",10,38641.9761242695
"Atezolizumab_Monkey_Dose10","Atezolizumab","29",10,49234.0016703851
"Atezolizumab_Monkey_Dose10","Atezolizumab","3",10,28553.8448764376
"Atezolizumab_Monkey_Dose10","Atezolizumab","30",10,38535.3307908465
"Atezolizumab_Monkey_Dose10","Atezolizumab","31",10,31268.4047619258
"Atezolizumab_Monkey_Dose10","Atezolizumab","32",10,41155.6418500249
"Atezolizumab_Monkey_Dose10","Atezolizumab","33",10,51321.4367905364
"Atezolizumab_Monkey_Dose10","Atezolizumab","34",10,42101.4956913704
"Atezolizumab_Monkey_Dose10","Atezolizumab","35",10,39785.8556396626
"Atezolizumab_Monkey_Dose10","Atezolizumab","36",10,42340.7821556433
"Atezolizumab_Monkey_Dose10","Atezolizumab","37",10,43041.3719020552
"Atezolizumab_Monkey_Dose10","Atezolizumab","38",10,29277.3330899388
"Atezolizumab_Monkey_Dose10","Atezolizumab","39",10,28554.3222724777
"Atezolizumab_Monkey_Dose10","Atezolizumab","4",10,45566.6924359419
"Atezolizumab_Monkey_Dose10","Atezolizumab","40",10,30330.576155476
"Atezolizumab_Monkey_Dose10","Atezolizumab","41",10,42728.5775856416
"Atezolizumab_Monkey_Dose10","Atezolizumab","42",10,41842.7183753133
"Atezolizumab_Monkey_Dose10","Atezolizumab","43",10,35919.360532213
"Atezolizumab_Monkey_Dose10","Atezolizumab","44",10,35975.2826985647
"Atezolizumab_Monkey_Dose10","Atezolizumab","45",10,55436.7766873399
"Atezolizumab_Monkey_Dose10","Atezolizumab","46",10,41832.7244217739
"Atezolizumab_Monkey_Dose10","Atezolizumab","47",10,35704.2356189742
"Atezolizumab_Monkey_Dose10","Atezolizumab","48",10,42422.4231532928
"Atezolizumab_Monkey_Dose10","Atezolizumab","49",10,51300.9587702766
"Atezolizumab_Monkey_Dose10","Atezolizumab","5",10,37830.9513771577
"Atezolizumab_Monkey_Dose10","Atezolizumab","50",10,45790.5967301452
"Atezolizumab_Monkey_Dose10","Atezolizumab","51",10,45787.6056039315
"Atezolizumab_Monkey_Dose10","Atezolizumab","52",10,38421.181001001
"Atezolizumab_Monkey_Dose10","Atezolizumab","53",10,43802.6531834074
"Atezolizumab_Monkey_Dose10","Atezolizumab","54",10,29260.1845857079
"Atezolizumab_Monkey_Dose10","Atezolizumab","55",10,34663.8871977122
