"Species","Target","Molecule","Dose (mg/kg)","Parameter varied","Variation (fold)","Varied parameter value","Parameter unit","Reference terminal CL (L/day)","Varied terminal CL (L/day)","Delta terminal CL (%)","Normalized sensitivity coefficient","Normalized sensitivity index (no sensitivity = 1)"
"Human","PD-1","Pembrolizumab",2,"kint",10,0.0045,"1/min",0.0377164908965225,0.0377165646537676,0.00019555701857854,8.49292510235833e-07,1.00000084929251
"Human","PD-1","Pembrolizumab",10,"Target reference concentration",0.1,7.138e-06,"µmol/l",0.0379778906658928,0.0379778004320807,-0.000237595639240862,1.03186597630059e-06,1.00000103186598
"Human","PD-1","Pembrolizumab",10,"Target reference concentration",10,0.0007138,"µmol/l",0.0379778906658928,0.0379778004320807,-0.000237595639240862,-1.03186597630059e-06,0.999998968134024
"Human","PD-1","Pembrolizumab",10,"kdeg",0.1,4.5e-05,"1/min",0.0379778906658928,0.0379778004320807,-0.000237595639240862,1.03186597630059e-06,1.00000103186598
"Human","PD-1","Pembrolizumab",10,"kdeg",10,0.0045,"1/min",0.0379778906658928,0.0379778004320807,-0.000237595639240862,-1.03186597630059e-06,0.999998968134024
"Human","PD-1","Pembrolizumab",10,"kint",0.1,4.5e-05,"1/min",0.0379778906658928,0.0379778004320807,-0.000237595639240862,1.03186597630059e-06,1.00000103186598
"Human","PD-1","Pembrolizumab",10,"kint",10,0.0045,"1/min",0.0379778906658928,0.0379778004320807,-0.000237595639240862,-1.03186597630059e-06,0.999998968134024
"Human","PD-L1","Atezolizumab",1,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.155457040652233,0.154544443968971,-0.587041075420791,0.00255699968112338,1.00255699968112
"Human","PD-L1","Atezolizumab",1,"Target reference concentration",10,0.00609,"µmol/l",0.155457040652233,0.164690653366254,5.93965553138049,0.0250585564694689,1.02505855646947
"Human","PD-L1","Atezolizumab",1,"kdeg",0.1,7.1e-05,"1/min",0.155457040652233,0.154646414167498,-0.521447263716168,0.0022705416893746,1.00227054168937
"Human","PD-L1","Atezolizumab",1,"kdeg",10,0.0071,"1/min",0.155457040652233,0.156358661028541,0.579980406500069,0.00251154668210725,1.00251154668211
"Human","PD-L1","Atezolizumab",1,"kint",0.1,0.00101,"1/min",0.155457040652233,0.154773372613501,-0.439779398773976,0.00191414977146948,1.00191414977147
"Human","PD-L1","Atezolizumab",1,"kint",10,0.101,"1/min",0.155457040652233,0.15573015856681,0.175687066620411,0.000762329774252478,1.00076232977425
"Human","PD-L1","Atezolizumab",3,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.155191748506315,0.154740729112907,-0.290620730643831,0.00126398739208603,1.00126398739209
"Human","PD-L1","Atezolizumab",3,"Target reference concentration",10,0.00609,"µmol/l",0.155191748506315,0.159757594271003,2.94206735128202,0.0125928857932878,1.01259288579329
"Human","PD-L1","Atezolizumab",3,"kdeg",0.1,7.1e-05,"1/min",0.155191748506315,0.154763239724643,-0.276115699317969,0.00120081382752616,1.00120081382753
"Human","PD-L1","Atezolizumab",3,"kdeg",10,0.0071,"1/min",0.155191748506315,0.156279125226907,0.700666582506959,0.00303234535149647,1.0030323453515
"Human","PD-L1","Atezolizumab",3,"kint",0.1,0.00101,"1/min",0.155191748506315,0.154936087679109,-0.164738673071663,0.000716040926942854,1.00071604092694
"Human","PD-L1","Atezolizumab",3,"kint",10,0.101,"1/min",0.155191748506315,0.155252060213614,0.0388627023533816,0.000168745784376671,1.00016874578438
"Human","PD-L1","Atezolizumab",10,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.155745692846661,0.15558066930012,-0.105957053145567,0.000460409596316416,1.00046040959632
"Human","PD-L1","Atezolizumab",10,"Target reference concentration",10,0.00609,"µmol/l",0.155745692846661,0.157402397518796,1.06372423009198,0.00459529808563575,1.00459529808564
"Human","PD-L1","Atezolizumab",10,"kdeg",0.1,7.1e-05,"1/min",0.155745692846661,0.155584986234475,-0.103185269042827,0.000448359289761694,1.00044835928976
"Human","PD-L1","Atezolizumab",10,"kdeg",10,0.0071,"1/min",0.155745692846661,0.156573370478516,0.531428906139597,0.00230185545497718,1.00230185545498
"Human","PD-L1","Atezolizumab",10,"kint",0.1,0.00101,"1/min",0.155745692846661,0.155694237059813,-0.0330383369889442,0.000143507381987391,1.00014350738199
"Human","PD-L1","Atezolizumab",10,"kint",10,0.101,"1/min",0.155745692846661,0.155753556856692,0.00504926324884636,2.19281180669639e-05,1.00002192811807
"Human","PD-L1","Atezolizumab",15,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.156319503859492,0.156205148741648,-0.0731547343875927,0.000317823240248993,1.00031782324025
"Human","PD-L1","Atezolizumab",15,"Target reference concentration",10,0.00609,"µmol/l",0.156319503859492,0.157461397472007,0.730486973360001,0.00316093351734536,1.00316093351735
"Human","PD-L1","Atezolizumab",15,"kdeg",0.1,7.1e-05,"1/min",0.156319503859492,0.156208132751822,-0.0712458170098462,0.000309526927452384,1.00030952692745
"Human","PD-L1","Atezolizumab",15,"kdeg",10,0.0071,"1/min",0.156319503859492,0.157000099535364,0.435387561416101,0.00188675976946586,1.00188675976947
"Human","PD-L1","Atezolizumab",15,"kint",0.1,0.00101,"1/min",0.156319503859492,0.156292584975132,-0.0172204259198727,7.47937996205184e-05,1.00007479379962
"Human","PD-L1","Atezolizumab",15,"kint",10,0.101,"1/min",0.156319503859492,0.156323401378884,0.00249330332771081,1.08281437806845e-05,1.00001082814378
"Human","PD-L1","Atezolizumab",20,"Target reference concentration",0.1,6.09e-05,"µmol/l",0.156927033560753,0.156840197315956,-0.055335427444736,0.000240385223160987,1.00024038522316
"Human","PD-L1","Atezolizumab",20,"Target reference concentration",10,0.00609,"µmol/l",0.156927033560753,0.157800789960406,0.556791509930976,0.00241140775902474,1.00241140775902
